"dataset","eps","min_pts","n_clusters","n_noise","disco_dbscan","disco_kmeans"
"blobs",0.3,3,7,20,0.392290746732367,0.884949055355253
"blobs",0.3,5,3,38,0.814762686557536,0.857569183406031
"blobs",0.3,7,3,59,0.769087534716634,0.830814907027414
"blobs",0.3,10,4,88,0.538910299654497,0.798735019281983
"blobs",0.4,3,3,11,0.874286891363459,0.884949055355253
"blobs",0.4,5,3,17,0.844713360711774,0.857569183406031
"blobs",0.4,7,3,24,0.813421195161423,0.830814907027414
"blobs",0.4,10,3,38,0.769772222133527,0.798735019281983
"blobs",0.5,3,3,4,0.884527930149529,0.884949055355253
"blobs",0.5,5,3,8,0.854895316279536,0.857569183406031
"blobs",0.5,7,3,8,0.829087979079233,0.830814907027414
"blobs",0.5,10,3,14,0.793226671299174,0.798735019281983
"blobs",0.6,3,3,2,0.884957786649691,0.884949055355253
"blobs",0.6,5,3,3,0.856822895799934,0.857569183406031
"blobs",0.6,7,3,4,0.830950978135855,0.830814907027414
"blobs",0.6,10,3,4,0.799626321363874,0.798735019281983
"blobs",0.7,3,3,2,0.884957786649691,0.884949055355253
"blobs",0.7,5,3,2,0.858024307454296,0.857569183406031
"blobs",0.7,7,3,2,0.831274636440955,0.830814907027414
"blobs",0.7,10,3,3,0.799634746183049,0.798735019281983
"blobs",0.8,3,3,1,0.885361894530652,0.884949055355253
"blobs",0.8,5,3,1,0.857266065412344,0.857569183406031
"blobs",0.8,7,3,1,0.830287266158429,0.830814907027414
"blobs",0.8,10,3,1,0.798762196252364,0.798735019281983
