"dataset","eps","min_pts","n_clusters","n_noise","disco_dbscan","disco_kmeans"
"circles",0.1,3,16,17,0.289333934957342,0.0284174395063946
"circles",0.1,5,14,43,0.161508229608661,0.0257201707075346
"circles",0.1,7,9,107,0.159827113346424,0.0236007358263285
"circles",0.1,10,6,156,0.139340886817887,0.013160496263966
"circles",0.15,3,7,0,0.536614666880985,0.0284174395063946
"circles",0.15,5,10,8,0.482413097802562,0.0257201707075346
"circles",0.15,7,10,22,0.456380162627217,0.0236007358263285
"circles",0.15,10,6,82,0.389837523585601,0.013160496263966
"circles",0.2,3,2,0,0.719640285270152,0.0284174395063946
"circles",0.2,5,2,0,0.690092181282082,0.0257201707075346
"circles",0.2,7,4,5,0.460256422535726,0.0236007358263285
"circles",0.2,10,7,33,0.421369885770264,0.013160496263966
"circles",0.25,3,2,0,0.719640285270152,0.0284174395063946
"circles",0.25,5,2,0,0.690092181282082,0.0257201707075346
"circles",0.25,7,2,0,0.630968129749313,0.0236007358263285
"circles",0.25,10,4,1,0.396044347107625,0.013160496263966
"circles",0.3,3,2,0,0.719640285270152,0.0284174395063946
"circles",0.3,5,2,0,0.690092181282082,0.0257201707075346
"circles",0.3,7,2,0,0.630968129749313,0.0236007358263285
"circles",0.3,10,2,0,0.542960141130564,0.013160496263966
"circles",0.4,3,2,0,0.719640285270152,0.0284174395063946
"circles",0.4,5,2,0,0.690092181282082,0.0257201707075346
"circles",0.4,7,2,0,0.630968129749313,0.0236007358263285
"circles",0.4,10,2,0,0.542960141130564,0.013160496263966
