"x","y","true_label","db_label","km_label","disco_db","disco_km"
-0.1,0.5,0,0,2,0.79895193740469,-0.00297387802130382
-0.100126,0.510052,0,0,2,0.798951913944599,-0.00297390157670944
-0.100505,0.520098,0,0,2,0.79895193740469,-0.00297387802130365
-0.101136,0.530131,0,0,2,0.798951913944599,-0.00297390157670944
-0.10202,0.540145,0,0,2,0.798951951777675,-0.00297386030987851
-0.103154,0.550133,0,0,2,0.798951953433723,-0.00297385826917708
-0.104539,0.56009,0,0,2,0.798951928071787,-0.00297388952197615
-0.106174,0.570009,0,0,2,0.798951953433723,-0.00297385826917708
-0.108058,0.579884,0,0,2,0.798951928071787,-0.00297388952197615
-0.110189,0.589708,0,0,2,0.798951417904963,-0.00297423517117781
-0.112567,0.599476,0,0,2,0.79895193686335,-0.00297387895410142
-0.115189,0.609181,0,0,2,0.798951417904963,-0.00297423517117781
-0.118054,0.618817,0,0,2,0.79895193686335,-0.00297387895410142
-0.121161,0.628377,0,0,2,0.798951884819287,-0.00297392790103428
-0.124506,0.637857,0,0,2,0.79895193686335,-0.00297387895410142
-0.128089,0.64725,0,0,0,0.798951884819287,-0.00297466183482759
-0.131907,0.656549,0,0,0,0.798951928233594,-0.00297470389056186
-0.135958,0.66575,0,0,0,0.798951936708556,-0.00297469344711822
-0.140238,0.674846,0,0,0,0.798951928233594,-0.00297470389056186
-0.144745,0.683832,0,0,0,0.798951936708556,-0.00297469344711822
-0.149477,0.692701,0,0,0,0.798951412325684,-0.00297432790113057
-0.154431,0.701449,0,0,0,0.798951819209545,-0.00297460008026472
-0.159602,0.71007,0,0,0,0.798951412325684,-0.00297432790113057
-0.164989,0.718558,0,0,0,0.798951819209545,-0.00297460008026472
-0.170587,0.726908,0,0,0,0.79895181998462,-0.00297459912516235
-0.176393,0.735114,0,0,0,0.798951592345179,-0.0029744272459604
-0.182404,0.743172,0,0,0,0.79895181998462,-0.00297459912516235
-0.188615,0.751077,0,0,0,0.798951592345179,-0.0029744272459604
-0.195023,0.758822,0,0,0,0.798950603440585,-0.0029742772512858
-0.201624,0.766405,0,0,0,0.798951644235292,-0.00297436330330218
-0.208413,0.773819,0,0,0,0.798950603440585,-0.0029742772512858
-0.215386,0.78106,0,0,0,0.798951675049063,-0.00297432533239569
-0.222539,0.788124,0,0,0,0.798951658510424,-0.00297434571247609
-0.229867,0.795005,0,0,0,0.798951675049063,-0.00297432533239569
-0.237366,0.801701,0,0,0,0.798951662591619,-0.00297434068333902
-0.24503,0.808205,0,0,0,0.798951293944367,-0.00297429509123398
-0.252856,0.814515,0,0,0,0.798951423819839,-0.00297433097986372
-0.260838,0.820627,0,0,0,0.798951293944367,-0.00297429509123398
-0.268971,0.826536,0,0,0,0.798951423819839,-0.00297433097986372
-0.27725,0.832238,0,0,0,0.79895153106932,-0.0029741988194706
-0.285669,0.837731,0,0,0,0.798951462445375,-0.00297428338275075
-0.294224,0.843011,0,0,0,0.79895153106932,-0.0029741988194706
-0.302909,0.848074,0,0,0,0.798951462445375,-0.00297428338275075
-0.311718,0.852916,0,0,0,0.798951514169361,-0.00297421964479809
-0.320647,0.857537,0,0,0,0.798951514169361,-0.00297421964479809
-0.329688,0.861931,0,0,0,0.798951514169361,-0.00297421964479809
-0.338837,0.866096,0,0,0,0.798951478512084,-0.00297426358421824
-0.348088,0.870031,0,0,0,0.798951615384187,-0.00297409492070666
-0.357435,0.873732,0,0,0,0.798951478512084,-0.00297426358421824
-0.366872,0.877196,0,0,0,0.798951615384187,-0.00297409492070666
-0.376393,0.880423,0,0,0,0.798951615607923,-0.0029740946450027
-0.385992,0.883409,0,0,0,0.798951615607923,-0.0029740946450027
-0.395663,0.886153,0,0,0,0.79895160822862,-0.00297410373830605
-0.4054,0.888653,0,0,0,0.798951615607923,-0.0029740946450027
-0.415197,0.890907,0,0,0,0.79895160822862,-0.00297410373830605
-0.425047,0.892915,0,0,0,0.798951238784907,-0.00297428038172573
-0.434945,0.894674,0,0,0,0.79895160822862,-0.00297410373830605
-0.444884,0.896185,0,0,0,0.798951238784907,-0.00297428038172573
