"dataset","eps","min_pts","n_clusters","n_noise","disco_dbscan","disco_kmeans"
"dartboard1",0.05,3,4,0,0.937161660084875,-0.0036740345783253
"dartboard1",0.05,5,4,0,0.874342686080306,-0.00336372399564018
"dartboard1",0.05,7,4,0,0.811542773610645,-0.00306749029187238
"dartboard1",0.05,10,3,250,0.624124703554989,-0.00251364490120851
"dartboard1",0.06,3,4,0,0.937161660084875,-0.0036740345783253
"dartboard1",0.06,5,4,0,0.874342686080306,-0.00336372399564018
"dartboard1",0.06,7,4,0,0.811542773610645,-0.00306749029187238
"dartboard1",0.06,10,4,0,0.686045462807528,-0.00251364490120851
"dartboard1",0.07,3,4,0,0.937161660084875,-0.0036740345783253
"dartboard1",0.07,5,4,0,0.874342686080306,-0.00336372399564018
"dartboard1",0.07,7,4,0,0.811542773610645,-0.00306749029187238
"dartboard1",0.07,10,4,0,0.686045462807528,-0.00251364490120851
"dartboard1",0.08,3,4,0,0.937161660084875,-0.0036740345783253
"dartboard1",0.08,5,4,0,0.874342686080306,-0.00336372399564018
"dartboard1",0.08,7,4,0,0.811542773610645,-0.00306749029187238
"dartboard1",0.08,10,4,0,0.686045462807528,-0.00251364490120851
"dartboard1",0.1,3,1,0,0,-0.0036740345783253
"dartboard1",0.1,5,1,0,0,-0.00336372399564018
"dartboard1",0.1,7,1,0,0,-0.00306749029187238
"dartboard1",0.1,10,1,0,0,-0.00251364490120851
"dartboard1",0.12,3,1,0,0,-0.0036740345783253
"dartboard1",0.12,5,1,0,0,-0.00336372399564018
"dartboard1",0.12,7,1,0,0,-0.00306749029187238
"dartboard1",0.12,10,1,0,0,-0.00251364490120851
