"x","y","true_label","db_label","km_label","disco_db","disco_km"
31.95,7.95,2,1,1,0,0
31.15,7.3,2,1,1,0.220303810467116,-0.000251239246269983
30.45,6.65,2,1,1,0.451741157129203,-0.00370767090585177
29.7,6,2,1,1,0.461544730380386,-0.00412259174843322
28.9,5.55,2,1,1,0.455087019285832,-0.00379899809191241
28.05,5,2,1,1,0.466180456336927,-0.0044160587947513
27.2,4.55,2,1,1,0.455087019285832,-0.00379899809191241
26.35,4.15,2,1,1,0.472585655652699,-0.0049700090933281
25.4,3.85,2,1,1,0.465686199212864,-0.00437944483186539
24.6,3.6,2,1,1,0.472585655652699,-0.0049700090933281
23.6,3.3,2,1,1,0.477903329293829,-0.00563537425948552
22.75,3.15,2,1,1,0.472585655652699,-0.0049700090933281
21.85,3.05,2,1,1,0.484200620259666,-0.00651019807871021
20.9,3,2,1,1,0.484200620259666,-0.00651019807871021
20,2.9,2,1,1,0.484200620259666,-0.00651019807871021
19.1,3,2,1,1,0.493245159320682,-0.00817654687164412
18.2,3.2,2,1,1,0.491500536534081,-0.00783394326929299
17.3,3.25,2,1,1,0.493245159320682,-0.00817654687164412
16.55,3.5,2,1,1,0.496520790998126,-0.00891947925334179
15.7,3.7,2,1,1,0.519038440173248,-0.0147732611557647
14.85,4.1,2,1,1,0.496520790998126,-0.00891947925334179
14.15,4.4,2,1,1,0.519038440173248,-0.0147732611557647
13.4,4.75,2,1,1,0.535422830320771,-0.0193843150962673
12.7,5.2,2,1,1,0.528454436066592,-0.0173573615662024
12.05,5.65,2,1,1,0.535422830320771,-0.0193843150962673
11.45,6.15,2,1,1,0.541723639515459,-0.0214491347429158
10.9,6.65,2,1,2,0.51983116584968,0.00499896921666357
10.3,7.25,2,1,2,0.541723639515459,0.0046110381170671
9.7,7.85,2,1,2,0.51983116584968,0.00499896921666357
9.35,8.35,2,1,2,0.554538667564884,0.00415752370309398
8.9,9.05,2,1,2,0.559456958897297,0.00381045986700316
8.55,9.65,2,1,2,0.554538667564884,0.00415752370309398
8.15,10.35,2,1,2,0.559456958897297,0.00381045986700316
7.95,10.95,2,1,2,0.567833213489634,0.00290535395965515
7.75,11.7,2,1,2,0.576509688846998,0.00154916804536176
7.55,12.35,2,1,2,0.567833213489634,0.00290535395965515
7.45,13,2,1,2,0.577729712804108,0.001262232477915
7.35,13.75,2,1,2,0.575431108398613,0.00177832614840194
7.3,14.35,2,1,2,0.577729712804108,0.001262232477915
7.35,14.95,2,1,2,0.575431108398613,0.00177832614840269
7.35,15.75,2,1,2,0.577729712804108,0.001262232477915
7.55,16.35,2,1,2,0.575431108398613,0.00177832614840269
7.7,16.95,2,1,2,0.59462906416315,-0.00408601966691718
7.8,17.55,2,1,2,0.594186726315455,-0.00390080560729835
8.05,18.15,2,1,2,0.59462906416315,-0.00408601966691718
8.3,18.75,2,1,2,0.594186726315455,-0.00390080560729835
8.65,19.3,2,1,2,0.59462906416315,-0.00408601966691718
8.9,19.85,2,1,2,0.597879479737677,-0.00574275512269138
9.3,20.3,2,1,2,0.592820784512657,-0.00340483153424968
9.65,20.8,2,1,2,0.597879479737677,-0.00574275512269138
10.2,21.25,2,1,2,0.592820784512657,-0.00340483153424968
10.6,21.65,2,1,2,0.597879479737677,-0.00574275512269138
11.1,22.15,2,1,2,0.598149536581896,-0.0059077305525726
11.55,22.45,2,1,2,0.602309973331785,-0.00860181973529846
11.95,22.7,2,1,2,0.60676797421698,-0.0116601096028232
12.55,23,2,1,2,0.615199512082154,-0.0181951207713203
13.05,23.2,2,1,2,0.60676797421698,-0.0116601096028232
13.45,23.4,2,1,2,0.61797458094953,-0.0205352436089994
14,23.55,2,1,2,0.61797458094953,-0.0205352436089998
14.55,23.6,2,1,2,0.612945795342381,-0.0163959492011561
15.1,23.75,2,1,2,0.61797458094953,-0.0205352436089998
15.7,23.75,2,1,0,0.612945795342381,0.00444037531824219
16.15,23.85,2,1,0,0.625008472233212,0.014999674794379
16.7,23.8,2,1,0,0.625378306031263,0.0153377559129422
17.15,23.75,2,1,0,0.624379501296535,0.0144179530483573
17.75,23.75,2,1,0,0.625378306031263,0.0153377559129422
18.2,23.6,2,1,0,0.624379501296535,0.0144179530483573
18.65,23.5,2,1,0,0.629202826049862,0.0187453189349226
19.1,23.35,2,1,0,0.631776488276846,0.0209721508141178
19.6,23.15,2,1,0,0.629202826049862,0.0187453189349226
20,22.95,2,1,0,0.631776488276846,0.0209721508141178
20.4,22.7,2,1,0,0.633931776349164,0.0227749869289404
20.7,22.55,2,1,0,0.633931776349164,0.0227749869289402
21,22.15,2,1,0,0.633931776349164,0.0227749869289404
