"dataset","eps","min_pts","n_clusters","n_noise","disco_dbscan","disco_kmeans"
"spiral3",1,3,6,8,0.417056180521339,-0.00502820009361707
"spiral3",1,5,4,189,0.367381254626235,-0.000941600626089923
"spiral3",1,7,3,253,0.360082627311132,0.00226160222123596
"spiral3",1,10,2,278,0.454273050132952,0.0116038778947703
"spiral3",1.5,3,3,0,0.779377565569289,-0.00502820009361707
"spiral3",1.5,5,4,88,0.394262593400455,-0.000941600626089923
"spiral3",1.5,7,3,186,0.432707369214052,0.00226160222123596
"spiral3",1.5,10,3,245,0.317246523665823,0.0116038778947703
"spiral3",2,3,3,0,0.779377565569289,-0.00502820009361707
"spiral3",2,5,3,1,0.585876398353608,-0.000941600626089923
"spiral3",2,7,3,119,0.401286367585932,0.00226160222123596
"spiral3",2,10,3,209,0.377285038126575,0.0116038778947703
"spiral3",2.5,3,3,0,0.779377565569289,-0.00502820009361707
"spiral3",2.5,5,3,0,0.583651404646475,-0.000941600626089923
"spiral3",2.5,7,3,57,0.409847590890875,0.00226160222123596
"spiral3",2.5,10,3,171,0.335172622245765,0.0116038778947703
"spiral3",3,3,3,0,0.779377565569289,-0.00502820009361707
"spiral3",3,5,3,0,0.583651404646475,-0.000941600626089923
"spiral3",3,7,3,0,0.389964568816529,0.00226160222123596
"spiral3",3,10,3,132,0.274890508487684,0.0116038778947703
"spiral3",4,3,1,0,0,-0.00502820009361707
"spiral3",4,5,1,0,0,-0.000941600626089923
"spiral3",4,7,1,0,0,0.00226160222123596
"spiral3",4,10,1,43,0.0845878262201843,0.0116038778947703
